p_val	avg_logFC	pct.1	pct.2	p_val_adj
Col1a1	0	2.87793617120013	0.99	0.14	0
Col12a1	0	2.8740183329133	0.945	0.128	0
Col1a2	0	2.79055634138946	0.993	0.207	0
Bgn	0	2.76537321680591	0.987	0.147	0
Col5a2	0	2.6891842272858	0.97	0.154	0
Postn	0	2.68077415294327	0.975	0.205	0
Lrrc15	0	2.52550151209129	0.892	0.033	0
Tagln	0	2.51860969776624	0.72	0.066	0
Col6a3	0	2.48819986230235	0.945	0.189	0
Thbs2	0	2.46889384053535	0.958	0.137	0
Col6a1	0	2.43684330035095	0.957	0.139	0
Col6a2	0	2.37826953007743	0.96	0.118	0
Spon1	0	2.35176710975244	0.924	0.089	0
Col5a1	0	2.32403738066689	0.944	0.12	0
Sparc	0	2.17323179720099	0.991	0.444	0
Serpinf1	0	2.15320384515078	0.947	0.134	0
Cpxm2	0	2.06047532564112	0.82	0.023	0
Col5a3	0	2.02525018657598	0.914	0.148	0
Ccdc80	0	1.97759091073186	0.859	0.088	0
Serping1	0	1.93081506713742	0.961	0.136	0
Adamts2	0	1.90760925910506	0.892	0.098	0
Ppic	0	1.90252337356838	0.936	0.193	0
Cpxm1	0	1.88401111184513	0.884	0.078	0
Thy1	0	1.85169309929745	0.93	0.141	0
Fbn1	0	1.85043698089066	0.914	0.135	0
Lox	0	1.83304232081447	0.779	0.077	0
Wisp1	0	1.81847428761716	0.82	0.046	0
Pcolce	0	1.81635237829987	0.893	0.107	0
C1qtnf6	0	1.80539652641721	0.869	0.098	0
Fstl1	0	1.78487497663065	0.961	0.151	0
Loxl1	0	1.77693289719999	0.909	0.09	0
Mmp2	0	1.77555256735029	0.953	0.141	0
Aebp1	0	1.74807137814499	0.958	0.27	0
Col3a1	0	1.73198680155688	0.973	0.151	0
Mrc2	0	1.72774900590291	0.815	0.072	0
Cdh11	0	1.68553052193629	0.767	0.053	0
Rcn3	0	1.68503036569703	0.878	0.102	0
Loxl2	0	1.60995074554005	0.776	0.09	0
Antxr1	0	1.5598409295641	0.783	0.082	0
Ctsk	0	1.53485148410105	0.907	0.105	0
Islr	0	1.45383781935282	0.733	0.061	0
Pdgfrb	0	1.43906027148171	0.76	0.065	0
Emilin1	0	1.41128561131924	0.766	0.062	0
Srpx2	0	1.30344101063298	0.648	0.027	0
Olfml3	0	1.24969737232276	0.651	0.034	0
Mdk	2.7117828266584e-307	1.31438122315265	0.635	0.034	3.63677194883159e-303
Mfap4	4.14144288452163e-306	1.50452380663459	0.66	0.04	5.55408905243195e-302
Serpinh1	3.77784244739985e-304	1.81096696179137	0.973	0.393	5.06646450620795e-300
Ncam1	3.20876779093141e-302	1.26340919906853	0.653	0.046	4.30327848441811e-298
Igfbp7	2.01568815656492e-301	1.872048706924	0.996	0.401	2.70323938676922e-297
P4ha3	5.08632391503548e-298	1.36085819446277	0.672	0.051	6.82126900245409e-294
Gpx3	2.42313793035137e-297	1.64120657027436	0.875	0.161	3.24967027839422e-293
Dkk3	5.85331037626511e-297	1.28950574671906	0.733	0.078	7.84987454560914e-293
Serpina3h	1.30063597654826e-293	1.62853340802341	0.864	0.17	1.74428290814887e-289
Fkbp10	6.26632760807268e-289	1.30561297911175	0.723	0.087	8.40377195518628e-285
Colec12	1.42417913457046e-287	1.16601862128522	0.677	0.057	1.90996663737245e-283
Acta2	6.50293882025448e-284	2.13384806303201	0.697	0.072	8.72109125184328e-280
Sod3	7.46085236883015e-278	1.42081560434689	0.737	0.088	1.00057491118381e-273
Col8a1	7.48359884868052e-276	2.06378152900803	0.8	0.162	1.00362544159655e-271
Olfml2b	8.5644724011257e-276	1.18947913679492	0.705	0.071	1.14858139371497e-271
Fbln1	1.3578813141558e-273	1.26121223319152	0.674	0.064	1.82105463041434e-269
Loxl3	1.56973213574174e-269	1.48421131804322	0.739	0.113	2.10516776724324e-265
Pdgfrl	3.07118125406315e-269	1.29139408611663	0.65	0.062	4.11876117982409e-265
Igfbp4	5.32373785164896e-268	1.73445417603835	0.907	0.254	7.13966483284642e-264
Col23a1	9.66713421299083e-266	1.10838305510013	0.484	0.009	1.2964593693042e-261
Hspg2	4.66144294334763e-265	1.45693587472968	0.886	0.218	6.25146113132351e-261
Mfap2	9.98614198644334e-263	1.10005345472342	0.684	0.069	1.33924150180192e-258
Crabp1	1.05238681125963e-262	2.13183035449963	0.513	0.018	1.41135595258029e-258
Scarf2	4.52240052330516e-262	1.09968743023232	0.592	0.042	6.06499134180455e-258
Fbln2	1.45203170781903e-261	1.54348957608864	0.953	0.358	1.9473197233561e-257
Mfap5	1.8967509600291e-261	1.51775256690965	0.694	0.078	2.54373271249502e-257
Fndc1	2.46155623522309e-260	1.39288779052642	0.641	0.06	3.30119306705769e-256
Nid1	1.56492403482263e-258	1.26483648435845	0.858	0.161	2.09871962310063e-254
Igfbp3	3.05978547638063e-256	1.83627749644739	0.844	0.188	4.10347830237406e-252
Cd248	1.39016233943163e-255	1.06218931640534	0.721	0.083	1.86434671341176e-251
Clmp	3.7863450727478e-255	1.07270038956012	0.651	0.064	5.07786737706207e-251
Pla1a	2.00751333150745e-253	1.19162713374622	0.748	0.103	2.69227612888465e-249
Ptprn	2.97212621869912e-251	1.1566849165561	0.552	0.034	3.98591847189739e-247
Dcn	1.66700433031915e-248	0.601837399138224	0.8	0.111	2.23561950739101e-244
Prrx1	8.08794799001766e-248	1.16188962924043	0.636	0.064	1.08467470494127e-243
Angptl2	5.47080876901363e-247	1.55781436077514	0.785	0.166	7.33690164012418e-243
Grem2	6.50637205041729e-246	1.15576491321417	0.553	0.036	8.72569555681463e-242
Cxcl14	2.08881875905946e-245	2.19626162225844	0.764	0.154	2.80131483777465e-241
Cspg4	3.69402941827239e-244	1.0377011904921	0.515	0.024	4.9540628528451e-240
P3h3	4.19317105318474e-242	1.01490763823835	0.636	0.069	5.62346169942606e-238
Slit3	1.4944448871216e-240	0.974312567564252	0.605	0.055	2.00420003811878e-236
Bmp1	9.72239089408777e-234	1.40290509402697	0.921	0.38	1.30386984280611e-229
Mxra8	1.9603277508046e-233	1.18988652934196	0.723	0.12	2.62899554660406e-229
Hs6st2	4.17227526248058e-232	0.921120875422735	0.429	0.008	5.59543835451271e-228
Sulf1	1.258042752395e-228	0.968682921844613	0.558	0.047	1.68716113523694e-224
Fgfr1	3.20523657264545e-224	1.33985626875674	0.93	0.422	4.29854276757481e-220
Efemp2	3.3271628284535e-224	1.08869758789898	0.772	0.162	4.46205806923899e-220
Gm6093	7.48453457537827e-223	1.04829986929112	0.436	0.013	1.00375093190398e-218
Mmp13	5.44779030206168e-220	3.59591482190929	0.726	0.181	7.30603157409492e-216
Fam198b	6.85502568993425e-220	0.953845653179766	0.501	0.034	9.19327495277082e-216
Gpc1	1.3565849541324e-217	1.21039644828387	0.837	0.237	1.81931608198696e-213
Smoc2	1.80196752499415e-216	1.35333936898546	0.496	0.033	2.41661864776965e-212
Tnc	2.85849525125059e-216	1.55507985483783	0.898	0.308	3.83352798145216e-212
Fn1	1.85791086975004e-214	1.22103022869668	0.978	0.428	2.49164426742178e-210
Tgfb2	2.91781209309197e-214	1.09521471714132	0.616	0.084	3.91307779804564e-210
Nrep	1.20325748955244e-213	1.30063388679732	0.558	0.062	1.61368861923878e-209
Mmp23	5.60917526315007e-212	0.856326932958528	0.513	0.04	7.52246494541056e-208
Pcsk5	1.16410907241998e-211	1.01416027944935	0.518	0.042	1.56118667702244e-207
Oaf	4.39216757266374e-208	1.18615508957322	0.798	0.202	5.89033593169935e-204
C1qtnf3	6.15786544345816e-207	1.47525556404363	0.408	0.013	8.25831334622173e-203
Bcat1	2.67495991736962e-206	0.810107995909117	0.473	0.03	3.5873887451844e-202
P3h1	3.44944542499239e-205	1.03650089755293	0.617	0.093	4.62605125945729e-201
Cfh	4.06447413181898e-205	1.05030597578111	0.696	0.116	5.45086625818244e-201
Kdelr3	2.02307083776327e-204	0.980704761509625	0.614	0.091	2.71314030052432e-200
Itgb5	5.48175033742806e-203	1.25332330573362	0.887	0.347	7.35157537752477e-199
Meg3	1.16399416825804e-202	1.32503410828381	0.666	0.11	1.56103257905086e-198
Gpx7	8.43202988645335e-202	0.854899011829399	0.525	0.05	1.13081952807226e-197
Serpine2	7.74274306310745e-201	1.75449439058063	0.846	0.304	1.03837927219334e-196
P4ha2	1.03072661179488e-199	0.97956570371731	0.66	0.118	1.38230745907811e-195
Plat	2.66423134264385e-199	1.07130550883876	0.841	0.222	3.57300065361967e-195
Col15a1	2.34006487662897e-198	1.3580147155348	0.571	0.072	3.13826100604711e-194
Prrx2	1.67380225895685e-197	0.874311630946525	0.478	0.036	2.24473620948704e-193
Rcn1	6.80282202815713e-196	1.04886873020372	0.766	0.2	9.12326462196153e-192
Lhfp	2.93459841937972e-195	0.981811366192933	0.682	0.134	3.93558994023014e-191
Col27a1	4.52761819829091e-193	0.8717809471078	0.559	0.069	6.07198876572794e-189
Fzd1	1.14171725347512e-192	1.02830066500288	0.576	0.085	1.53115700863548e-188
Ckap4	6.69046796510744e-192	1.21585701439506	0.797	0.261	8.97258658800559e-188
Myl9	9.94171901335145e-192	1.41229259283882	0.515	0.058	1.33328393688056e-187
Csrp2	2.40207148486284e-191	1.19720575742925	0.702	0.154	3.22141806834956e-187
Bpgm	3.16471029829437e-190	1.15481442527693	0.553	0.078	4.24419298104258e-186
Fbn2	4.73256299000312e-190	0.86181931878139	0.408	0.02	6.34684022589319e-186
Kif26b	8.81209314247182e-190	0.729536259935471	0.423	0.024	1.1817898113369e-185
Twist2	1.35712648142527e-187	1.0649841593195	0.426	0.026	1.82004232423942e-183
Mmp10	4.25611630344808e-187	2.25143550983235	0.602	0.109	5.70787757455422e-183
Nbl1	1.44255592502248e-185	1.12359685741681	0.788	0.224	1.93461175104765e-181
Col7a1	6.16510311514182e-183	1.56649186152815	0.74	0.196	8.2680197877167e-179
Pdgfra	2.00058123982519e-181	0.961869362937772	0.501	0.054	2.68297950072956e-177
Ctsf	1.69352623879947e-180	0.885080739405016	0.531	0.068	2.27118803885397e-176
Rarres2	4.68489886061938e-180	0.666665101102915	0.632	0.095	6.28291786197665e-176
