p_val	avg_logFC	pct.1	pct.2	p_val_adj
Apoe	0	3.87070073775374	0.949	0.226	0
Lyz2	0	3.50839807755307	0.953	0.051	0
C1qc	0	3.32445985722061	0.881	0.029	0
C1qb	0	3.22754947325939	0.874	0.028	0
C1qa	0	2.77508067448134	0.834	0.029	0
Ctss	0	2.5947739960897	0.928	0.111	0
Cd74	0	2.59146870421652	0.853	0.107	0
Mpeg1	0	2.41278672257234	0.842	0.064	0
Csf1r	0	2.38341359602302	0.925	0.069	0
Mrc1	0	2.34735398144499	0.733	0.028	0
Laptm5	0	1.9599866436289	0.951	0.143	0
C3ar1	0	1.82306548990126	0.65	0.015	0
Pld4	0	1.7532180040163	0.725	0.041	0
Fcgr3	0	1.73396663381247	0.74	0.051	0
Fcer1g	2.12449118264148e-307	1.35774802241888	0.859	0.094	2.84915512504048e-303
Tyrobp	8.79867097755843e-306	1.6687922353434	0.893	0.112	1.17998976480036e-301
Osm	1.64523451357194e-301	2.01305004170482	0.667	0.04	2.20642400615134e-297
Ccl6	1.53721047230273e-280	2.32154227934397	0.635	0.039	2.06155296440519e-276
Clec4n	5.14268079296377e-279	1.64068740244083	0.733	0.066	6.89684921144371e-275
Cybb	5.36112647889079e-277	1.59189496652054	0.591	0.028	7.18980672084044e-273
Gatm	6.05660974734523e-277	1.82901883933788	0.659	0.054	8.12251933216468e-273
H2.Aa	1.6704108528705e-273	2.42461416487299	0.846	0.137	2.24018799478463e-269
Spi1	3.2138070988055e-271	1.54280079114793	0.627	0.04	4.31003670020806e-267
AF251705	5.62899985943432e-267	1.47241714122941	0.576	0.029	7.54905171148737e-263
Msr1	2.79038618593138e-265	1.60024246891882	0.527	0.02	3.74218691395257e-261
Cd83	2.66817971313457e-263	1.76171564639589	0.674	0.059	3.57829581328477e-259
Ly86	1.87519858010964e-261	1.45238846642427	0.548	0.025	2.51482881578504e-257
Dab2	1.77955869227445e-258	1.82768812801206	0.817	0.144	2.38656616220926e-254
Csf2rb	6.98595793682932e-257	1.80463518719056	0.834	0.131	9.36886818908179e-253
Fcgr2b	1.18481857927203e-256	1.74431527126461	0.731	0.087	1.58896019666172e-252
Ccl9	5.65741584610115e-253	2.12775042491514	0.563	0.032	7.58716039120625e-249
Lgmn	2.6654135985749e-247	2.19183068721583	0.921	0.306	3.5745861770488e-243
Adgre1	2.81731095172408e-246	1.35535663959236	0.452	0.01	3.77829571735717e-242
Plek	9.80177152324246e-244	1.32500132534048	0.819	0.115	1.31451557898205e-239
H2.Ab1	1.75812070717114e-237	2.33264306147269	0.846	0.181	2.35781568038722e-233
Cd68	2.51811176630559e-237	1.64087647816811	0.682	0.081	3.37703968979242e-233
H2.DMa	4.48715648474142e-237	1.64281040831551	0.652	0.067	6.01772556168672e-233
C5ar1	1.78434566409231e-236	1.2865620898749	0.535	0.028	2.39298597011419e-232
Itgb2	3.73543392700359e-236	1.50021870060398	0.678	0.074	5.00959043950451e-232
Ccr1	4.66460736839761e-234	1.41184566823185	0.731	0.095	6.25570494175804e-230
Unc93b1	2.31992654550917e-233	1.70511472541559	0.738	0.124	3.11125349018235e-229
Ms4a6d	1.45037401089267e-231	1.40187419497525	0.548	0.038	1.94509658600815e-227
Ms4a6c	1.68201115173205e-231	1.28752931809177	0.465	0.017	2.25574515558785e-227
Lilr4b	1.1948120046412e-225	1.33740060168723	0.814	0.139	1.60236237942431e-221
Lilrb4a	2.06321633802344e-225	1.15837009371406	0.855	0.15	2.76697943092323e-221
Abca1	4.64323030021406e-224	1.70511623309529	0.708	0.114	6.22703615561707e-220
Npl	2.99653047081179e-222	1.5176950892468	0.554	0.047	4.01864701440569e-218
Sepp1	1.23762288544779e-219	2.49517801065573	0.84	0.238	1.65977605167403e-215
Ftl1	1.56230736434112e-219	1.47965065771393	1	0.906	2.09521040631787e-215
Sirpa	1.40376993757573e-216	1.6656321157483	0.684	0.108	1.88259586328281e-212
H2.DMb1	1.88654485437997e-216	1.6632923278399	0.635	0.079	2.53004530420898e-212
Ms4a7	9.67574390139686e-214	1.36864483364707	0.375	0.005	1.29761401461633e-209
Cd14	6.12823640042861e-207	1.42173978599665	0.919	0.281	8.21857783661481e-203
Il1rn	1.08699110286005e-203	1.52891011913371	0.821	0.188	1.45776376804561e-199
Rgs1	6.69372888582597e-203	1.56737706844777	0.774	0.144	8.97695980878121e-199
Ctsb	5.77301637415959e-202	1.65437394325941	0.989	0.795	7.74219225938543e-198
Ctsz	2.41014566293801e-201	1.80614590260045	0.936	0.486	3.23224634856616e-197
Wfdc17	1.72135566059696e-195	1.53786913402258	0.51	0.04	2.30851007642658e-191
Ncf4	3.86061147873295e-195	1.11857479850731	0.644	0.084	5.17746605412876e-191
Syk	1.76158223254928e-193	1.16496882696835	0.58	0.064	2.36245793207184e-189
Mafb	9.20654475457146e-190	1.85928400264462	0.746	0.182	1.23468971703558e-185
Ctsa	1.64624184948687e-186	1.65338965532853	0.906	0.44	2.20777494434684e-182
Csf2ra	3.86936295135903e-186	1.36686947195403	0.663	0.111	5.1892026540676e-182
Csf2rb2	1.34864552214074e-184	1.39659824601589	0.674	0.109	1.80866850974294e-180
Slc15a3	1.17855760572009e-183	1.3322323504973	0.687	0.112	1.58056360503121e-179
Man2b1	5.3331407116541e-183	1.57520330594091	0.759	0.2	7.15227500839932e-179
Cd300a	2.31726760221304e-182	1.1849059116928	0.456	0.033	3.10768758132791e-178
Psap	1.61980221574826e-180	1.74730757015721	0.932	0.62	2.17231675153999e-176
Gm2a	1.29139647194898e-177	1.58718128064101	0.806	0.238	1.73189180853078e-173
Cd86	2.33613157504122e-177	1.14116182175658	0.482	0.041	3.13298605528779e-173
Ninj1	2.33821121868754e-174	1.627735428272	0.881	0.386	3.13577506538186e-170
Aif1	5.41968395494038e-174	1.22987879368641	0.42	0.028	7.26833815197054e-170
Tlr2	1.03409646959321e-172	1.46160825885512	0.603	0.1	1.38682677537145e-168
Pik3r5	3.32819421392902e-171	1.22768005290513	0.537	0.063	4.4634412603002e-167
Acp5	4.0349391067565e-169	1.93178513183071	0.746	0.218	5.41125683607114e-165
Vav1	1.19147788211575e-168	1.06477762756986	0.478	0.045	1.59789098770543e-164
Srgn	1.32805133449469e-168	0.544193488896757	0.93	0.27	1.78104964469083e-164
Clec7a	9.36939979264077e-168	1.42664421330967	0.574	0.077	1.25653020619105e-163
Trem2	1.55331448314095e-167	1.12687177504548	0.352	0.014	2.08315005334033e-163
Blnk	5.11164596089959e-167	1.19776652673449	0.409	0.029	6.85522839816244e-163
Nceh1	3.32637329100098e-166	1.28295414236557	0.486	0.055	4.46099922056141e-162
Fth1	8.9764364064543e-164	1.16083040761792	0.998	0.959	1.20382988646959e-159
Itgax	4.75531840098595e-160	1.25047787413242	0.512	0.061	6.37735750756226e-156
Ncf2	8.84013447203459e-159	1.01851809701725	0.471	0.048	1.18555043404456e-154
Slc11a1	7.19013798284253e-157	1.0344940030973	0.42	0.034	9.64269404879012e-153
Dcstamp	1.36314874757458e-156	1.42538293353121	0.461	0.047	1.82811878537226e-152
H2.Eb1	1.61134593801714e-156	1.29931558075974	0.471	0.048	2.16097603747479e-152
Emilin2	3.86387790714746e-156	1.26867750733278	0.723	0.188	5.18184666127546e-152
Cfp	7.01188981493032e-156	1.31842089031049	0.546	0.08	9.40364543080305e-152
Tgfbi	1.8865685307521e-155	1.59097776435886	0.725	0.194	2.53007705659164e-151
Rilpl2	2.83527719205718e-151	1.31489610585783	0.595	0.114	3.80239024226789e-147
