p_val	avg_logFC	pct.1	pct.2	p_val_adj
Sgpl1	8.10571818484721e-70	1.03674031252542	0.692	0.412	1.08705786576986e-65
Malt1	2.06757025721111e-69	0.788561561383962	0.441	0.126	2.77281847194582e-65
Dtx4	3.84966580029037e-69	0.702265352679557	0.273	0.044	5.16278680476942e-65
Tuba1a	5.76632342304556e-69	-1.27464791536432	0.113	0.556	7.7332163426464e-65
Litaf	6.15057517845976e-69	0.789118197718303	0.84	0.63	8.24853637183238e-65
Cxcr4	8.01408427359683e-69	0.416849633316848	0.398	0.09	1.07476884193207e-64
Cyr61	2.1904464395921e-68	-2.02802311686936	0.037	0.469	2.93760772013697e-64
Ifi27l2a	5.34153391136127e-68	0.983523160089903	0.374	0.088	7.16353112852659e-64
Wwtr1	1.35401802667651e-67	-1.05125451018116	0.027	0.456	1.81587357557587e-63
Lrp12	4.29870932308683e-67	0.844499530438141	0.351	0.087	5.76499907319175e-63
Snx8	7.77845614410936e-67	0.923471198624551	0.372	0.096	1.04316875348651e-62
Ccl4	1.2460495890168e-66	0.393594032120891	0.31	0.057	1.67107710383043e-62
Arrb2	1.81938830168287e-66	0.710173687649974	0.294	0.053	2.4399816513869e-62
Pla2g7	2.42727929084977e-66	0.878041213262056	0.655	0.31	3.25522425695862e-62
Col16a1	3.36518415886123e-66	-1.11962867290434	0.021	0.45	4.51304847544879e-62
Hspb1	3.42529582014228e-66	-1.90696055686228	0.043	0.469	4.59366422439281e-62
Fyb	5.04686565913919e-66	0.492283276644296	0.287	0.047	6.76835153547157e-62
Lamb1	5.16520563024666e-65	-1.14428281833388	0.01	0.427	6.92705727072379e-61
Clec4e	7.3056024408457e-65	0.355232531391032	0.345	0.073	9.79754343341816e-61
M6pr	8.60017602809972e-65	0.82929718909633	0.696	0.413	1.15336960712845e-60
Timp1	5.67866326118613e-64	-1.7415152376285	0.109	0.528	7.61565529957672e-60
Fam105a	6.35228820198397e-64	0.679191041081764	0.265	0.045	8.5190537076807e-60
Crip2	6.48546831402989e-64	-1.34067228031925	0.082	0.509	8.69766155594548e-60
Pde2a	8.22661202848976e-64	0.87513593752558	0.398	0.114	1.10327093914076e-59
Ubl3	1.0254757692807e-63	0.847110652453362	0.63	0.323	1.37526555418234e-59
Galnt6	1.08801358207178e-63	0.614096524034797	0.253	0.039	1.45913501491646e-59
Hspg2	1.44222723518217e-63	-1.49949848879386	0.014	0.424	1.9341709451028e-59
Creg1	1.62503214009588e-63	0.904363643962714	0.511	0.202	2.17933060308259e-59
Cln8	2.8513546892587e-63	0.816601271132573	0.308	0.067	3.82395177376484e-59
Cerk	3.05792580341041e-63	0.725231517259182	0.329	0.076	4.10098429495371e-59
Hexb	7.04376324509858e-63	1.19295722683638	0.454	0.165	9.4463908880017e-59
Neurl3	1.58278873873379e-62	0.48633324067659	0.337	0.07	2.12267797751588e-58
Vasn	2.81896645883973e-62	-1.17204144891167	0.113	0.54	3.78051591794996e-58
Anxa1	2.87865246311806e-62	-1.06455977634336	0.554	0.792	3.86056081828764e-58
Tm4sf1	3.42075234043222e-62	-2.14777539882237	0.127	0.527	4.58757096375365e-58
Ptpn18	5.99572097557544e-62	0.71899383943663	0.351	0.084	8.04086140034422e-58
Fat1	7.85650463627009e-62	-0.973319293421805	0.006	0.405	1.05363583677018e-57
X1110007C09Rik	8.9106196218437e-62	0.833205668301951	0.561	0.253	1.19500319748546e-57
B2m	9.05799987367577e-62	0.357476500410267	0.994	0.929	1.21476836305866e-57
Gnai2	2.37401398193475e-61	0.578415276299783	0.903	0.759	3.1837901511727e-57
Cyba	6.10132639864426e-61	0.839468381260083	0.616	0.315	8.18248883322182e-57
Gpr183	8.79774581720112e-61	0.567240966055968	0.29	0.053	1.17986569154484e-56
Atp6v1b2	1.23113354070488e-60	0.851746086941273	0.698	0.419	1.65107319143932e-56
Picalm	1.30473701757624e-60	0.735804489750199	0.772	0.539	1.7497828142715e-56
Ppic	2.49266907672604e-60	-1.72446381991607	0.021	0.414	3.34291849879729e-56
Cttn	3.35901840167839e-60	-0.942269869440519	0.023	0.426	4.50477957849088e-56
Fermt2	3.86764390766837e-60	-1.03942173697469	0.012	0.407	5.18689724457405e-56
Tpp1	1.17982474139917e-59	0.888856866261423	0.649	0.378	1.58226296069042e-55
Msrb1	1.7258365767688e-59	0.964681935681864	0.569	0.278	2.31451943310463e-55
Calm1	3.38245590610265e-59	0.547148288572814	0.93	0.81	4.53621161567427e-55
Col4a2	4.68524206993853e-59	-1.7694774255178	0.029	0.42	6.28337813999457e-55
Cebpb	1.02896746086766e-58	0.711626069578013	0.916	0.748	1.37994826176961e-54
Krt8	1.11167663145623e-58	-2.34047064793802	0.055	0.442	1.49086953044595e-54
Postn	1.48380382551404e-58	-2.88866938692912	0.043	0.429	1.98992931039688e-54
Gngt2	2.53086904261015e-58	0.688599184131021	0.335	0.083	3.39414847304448e-54
Cotl1	2.55797548463485e-58	0.670990001074603	0.809	0.545	3.4305009224438e-54
Cebpa	9.04864504750014e-58	0.795507498030752	0.292	0.065	1.21351378732024e-53
Pltp	1.13320020677642e-57	1.05563637562796	0.316	0.077	1.51973479730786e-53
Adamts1	1.55072755280235e-57	-1.50512194737898	0.016	0.402	2.07968072106323e-53
Col4a1	1.59714906201037e-57	-1.98391475573655	0.084	0.476	2.1419366070621e-53
Mprip	2.85598921008787e-57	-0.942483840081865	0.115	0.526	3.83016712964884e-53
Slc20a1	3.65576918527334e-57	-1.31535426697663	0.246	0.61	4.90275205437007e-53
Mmp19	4.07526310859889e-57	1.29850410187637	0.628	0.311	5.46533535494198e-53
Trem1	4.09719137859722e-57	0.261980677174301	0.259	0.045	5.49474335783673e-53
Hspb8	6.65131497879437e-57	-1.18366370584586	0.018	0.398	8.92007851806113e-53
Hmha1	9.30223428488323e-57	0.533084273057447	0.31	0.066	1.24752263994569e-52
Calu	1.05317039075813e-56	-1.04640400608439	0.179	0.569	1.41240681104573e-52
Adam8	1.28925509145639e-56	0.94155882900798	0.452	0.159	1.72902000315217e-52
Mcl1	1.73983831130692e-56	0.684616274990516	0.84	0.68	2.33329715929371e-52
Ctsd	4.60237288526667e-56	0.820901030959304	0.93	0.762	6.17224227643113e-52
Lrrc8d	7.97500911906876e-56	0.782587117248917	0.409	0.132	1.06952847295831e-51
Plat	9.4710445946325e-56	-1.22924378941761	0.031	0.414	1.27016179058616e-51
S100a10	9.60086570510268e-56	-0.968536661101354	0.456	0.765	1.28757209971132e-51
Spint2	9.80375575692234e-56	-1.4462738444383	0.027	0.403	1.31478168456085e-51
Itgal	2.04134240254265e-55	0.481000642987782	0.263	0.048	2.73764429604995e-51
Lipa	3.72026310691378e-55	0.920581530090405	0.431	0.162	4.98924485268207e-51
Crispld2	4.47329434482636e-55	-1.57111633565276	0.039	0.413	5.99913504584663e-51
Maged1	4.57407627648471e-55	-0.907429788959191	0.158	0.556	6.13429369439365e-51
Snx5	5.50480985295048e-55	0.979182051359476	0.561	0.285	7.38250049379189e-51
Hebp1	5.70859897230302e-55	0.686796760962685	0.298	0.072	7.65580208175557e-51
Etv3	1.12021128542739e-54	1.04828358650519	0.487	0.207	1.50231535488668e-50
Rab8b	2.72143342119915e-54	0.652715033090055	0.552	0.235	3.64971436117017e-50
S100a11	3.10654202665122e-54	-0.94172261623241	0.257	0.646	4.16618351194195e-50
Igfbp3	3.81341996808205e-54	-2.09686907284514	0.021	0.385	5.11417751919484e-50
Eps8	7.36752545886968e-54	0.928100271003427	0.345	0.103	9.88058839289013e-50
H2.K1	9.38895093681082e-54	0.404815803710235	0.979	0.885	1.2591522101357e-49
Evi2a	1.28906206504144e-53	0.65040863038385	0.251	0.049	1.72876113542707e-49
Palld	1.56676741911024e-53	-1.0222500957649	0.072	0.448	2.10119178576875e-49
Gja1	1.77488609354916e-53	-1.07087069631717	0.051	0.438	2.38029974005878e-49
Col7a1	3.27168933353526e-53	-1.53780864551912	0.01	0.367	4.38766256520414e-49
Hspa1b	3.72772824565709e-53	-0.81078558654931	0.14	0.543	4.99925635025072e-49
Slc7a11	4.0728650327547e-53	0.482939140284449	0.277	0.058	5.46211929542732e-49
Fosl1	4.07331317589296e-53	-1.06000745460077	0.08	0.465	5.46272030019005e-49
Rcn1	5.61537245333025e-53	-0.973305368522752	0.016	0.376	7.53077599716119e-49
Tpd52	8.14663675631813e-53	0.754478166566305	0.522	0.235	1.09254545538982e-48
Krt18	8.67484963329845e-53	-2.29756676539557	0.144	0.488	1.16338408432166e-48
Sox9	1.01096286196164e-52	-1.29207357325131	0.018	0.376	1.35580229417676e-48
Lpcat2	2.40187565174264e-52	0.591856079776353	0.273	0.061	3.22115543655206e-48
Gltp	2.6547350796481e-52	0.792231202052948	0.425	0.157	3.56026521531606e-48
Col18a1	3.52531009407316e-52	-2.07849831932307	0.016	0.371	4.72779336716151e-48
Il7r	5.00396401363629e-52	0.411115685103224	0.302	0.066	6.71081613868763e-48
Ptrf	6.47187687418664e-52	-0.974770832139493	0.025	0.383	8.67943407597171e-48
Gde1	6.59318750363245e-52	0.944045361028881	0.567	0.307	8.84212376112148e-48
