p_val	avg_logFC	pct.1	pct.2	p_val_adj
Apoe	0	3.79322664748285	0.936	0.223	0
Lyz2	0	3.54151633019029	0.953	0.045	0
C1qc	0	3.32065999985704	0.869	0.026	0
C1qb	0	3.26783790108097	0.86	0.025	0
C1qa	0	2.77089858551519	0.817	0.027	0
Ctss	0	2.67299647188604	0.928	0.106	0
Cd74	0	2.61681537626281	0.852	0.102	0
Csf1r	0	2.42057352557917	0.928	0.062	0
Mpeg1	0	2.38759549200765	0.836	0.06	0
Mrc1	0	2.34345378251727	0.723	0.025	0
Osm	0	1.98992421557863	0.663	0.036	0
Laptm5	0	1.96610879013879	0.949	0.138	0
C3ar1	0	1.82242131004773	0.639	0.013	0
Pld4	0	1.77919503047531	0.725	0.036	0
Fcgr3	0	1.74684555965185	0.739	0.046	0
Tyrobp	0	1.70025474007614	0.903	0.106	0
Fcer1g	0	1.35450607825001	0.86	0.088	0
Clec4n	4.13401107895055e-297	1.64761419077256	0.739	0.06	5.54412225798059e-293
Ccl6	6.07684304724519e-292	2.34545522694522	0.634	0.035	8.14965421066053e-288
H2.Aa	2.11053607932579e-287	2.51339675174058	0.848	0.132	2.83043993598381e-283
Gatm	1.75276712138098e-286	1.8454913541047	0.657	0.05	2.35063598648404e-282
Ly86	3.69083845900566e-278	1.47170009540249	0.552	0.021	4.94978345737249e-274
Msr1	1.39139155060875e-275	1.60916628810627	0.526	0.017	1.8659952085214e-271
Cybb	1.40329166375143e-274	1.5511411121955	0.579	0.027	1.88195445025704e-270
Fcgr2b	3.17775990481356e-274	1.82581378450354	0.735	0.081	4.26169380834546e-270
AF251705	1.8423715723893e-273	1.4754191373366	0.571	0.026	2.47080451573129e-269
Ccl9	6.37514455353131e-269	2.1620608463406	0.567	0.028	8.54970636074084e-265
Spi1	4.52041881479797e-268	1.48543066936022	0.614	0.039	6.06233367252555e-264
Dab2	1.99694842458179e-267	1.84894320508344	0.815	0.14	2.67810753220663e-263
Csf2rb	2.82944703600807e-267	1.85167327649181	0.832	0.127	3.79457141999043e-263
Cd83	4.83769169126648e-263	1.73357608877794	0.663	0.056	6.48782832715748e-259
Plek	8.89936994835596e-256	1.34178568766769	0.821	0.11	1.19349450377402e-251
H2.DMa	8.69327598947839e-255	1.73818250652459	0.659	0.062	1.16585524294895e-250
Cd68	4.43013905975149e-253	1.68377048912162	0.688	0.075	5.94125949303273e-249
H2.Ab1	4.76012863251991e-250	2.42055753340484	0.848	0.176	6.38380850907245e-246
Itgb2	1.03097716325088e-247	1.51977261873897	0.68	0.07	1.38264347363576e-243
Ccr1	1.45146566153171e-247	1.39168186168675	0.735	0.09	1.94656059868017e-243
Adgre1	5.96151153595303e-246	1.33388632088774	0.444	0.008	7.9949831208666e-242
Lgmn	9.60544242796326e-241	2.15938747841323	0.906	0.304	1.28818588401415e-236
Ms4a6c	4.25239085627983e-238	1.28324788680289	0.462	0.014	5.70288137735688e-234
Ms4a6d	1.88983474110312e-237	1.39755639446997	0.544	0.035	2.53445737129339e-233
Lilrb4a	3.78788597550458e-237	1.15281617405127	0.856	0.145	5.07993388174919e-233
Unc93b1	3.06631567414924e-236	1.69016100583327	0.731	0.121	4.11223595060154e-232
Lilr4b	1.67839716915891e-234	1.33969307186452	0.813	0.135	2.25089844355901e-230
C5ar1	3.16723464111477e-234	1.26607565690889	0.524	0.027	4.24757837719902e-230
H2.DMb1	2.81215563596631e-232	1.68860905441811	0.643	0.074	3.77138192339442e-228
Npl	1.58466338840149e-226	1.49140090823332	0.55	0.045	2.12519207018524e-222
Ftl1	2.04367109271914e-226	1.4796794464433	1	0.906	2.74076730244564e-222
Abca1	2.64472425984672e-225	1.66674587826651	0.7	0.111	3.54683970488044e-221
Sirpa	2.85472423023772e-224	1.65545895417665	0.684	0.104	3.82847066517181e-220
Cd14	5.41546654272118e-214	1.46260683257325	0.914	0.278	7.26268218044337e-210
Il1rn	1.87890634015243e-210	1.52420852661781	0.819	0.184	2.51980129277843e-206
Ctsz	3.31520887452143e-208	1.81142251282486	0.936	0.483	4.44602662162069e-204
Sepp1	2.03439855509675e-207	2.44395031850067	0.815	0.239	2.72833190224025e-203
Ms4a7	3.78075885651529e-207	1.34092034840941	0.363	0.004	5.07037570247265e-203
Ncf4	1.27520523602965e-205	1.14895717057925	0.645	0.08	1.71017774203937e-201
Rgs1	1.8545365576626e-205	1.54197826276492	0.768	0.14	2.48711897748131e-201
Syk	1.003782616334e-202	1.17301732431396	0.581	0.06	1.34617286676553e-198
Csf2ra	1.62474613885276e-197	1.36388048970899	0.667	0.106	2.17894704681543e-193
Csf2rb2	6.83926799585177e-196	1.42579877871413	0.678	0.105	9.17214230923681e-192
Aif1	1.9445533497334e-191	1.29936611247394	0.429	0.024	2.60784049732746e-187
Ctsb	2.20642786032644e-191	1.61570634965786	0.986	0.794	2.95904040348379e-187
Man2b1	5.27077615573671e-191	1.57192030709259	0.762	0.195	7.0686379024585e-187
Wfdc17	1.2118376700569e-190	1.50932719952276	0.497	0.04	1.62519549931331e-186
Gm2a	1.57173951252463e-190	1.64631498499507	0.811	0.234	2.10785986024678e-186
Slc15a3	7.41492548144509e-190	1.33068013522822	0.684	0.108	9.94415656316601e-186
Cd300a	1.94106494582919e-189	1.16554621391678	0.456	0.03	2.60316219885153e-185
Cd86	1.64021835678231e-188	1.14503960674309	0.485	0.037	2.19969683828076e-184
Mafb	5.77738834102837e-188	1.84402721086259	0.733	0.181	7.74805550415315e-184
Ctsa	2.70441788599536e-186	1.64139649718446	0.897	0.438	3.62689482690838e-182
Pik3r5	6.43013861125687e-185	1.24974771240893	0.544	0.058	8.62345889155659e-181
Clec7a	3.12300637194652e-182	1.39977315496223	0.583	0.073	4.18826384541748e-178
Psap	4.58604703962494e-182	1.7266275042542	0.928	0.618	6.150347684841e-178
Tlr2	1.03369659583557e-177	1.4544434395199	0.602	0.097	1.38629050467508e-173
Ninj1	7.12199880836725e-176	1.59641727466551	0.877	0.384	9.55131260190131e-172
Cfp	6.93517667556936e-174	1.40349660517421	0.559	0.075	9.30076543960607e-170
Srgn	1.10538087903065e-173	0.537951909512651	0.926	0.266	1.48242629686801e-169
Blnk	1.61011393777614e-173	1.19854060763881	0.409	0.026	2.15932380195158e-169
Vav1	3.90608576113061e-173	1.07786825405778	0.474	0.042	5.23845161425226e-169
Trem2	4.94469512793176e-172	1.13247911220145	0.349	0.012	6.63133063606929e-168
Dcstamp	5.93844016005923e-171	1.48503640846655	0.468	0.043	7.96404209865543e-167
Ncf2	2.113495915978e-170	1.02416036372971	0.476	0.044	2.8344093729181e-166
Itgax	2.27541254312012e-170	1.26659064710712	0.515	0.057	3.05155576157839e-166
Fth1	1.98103913618132e-169	1.16550381144708	0.998	0.959	2.65677158553277e-165
Tgfbi	3.54833838271653e-168	1.62158028036906	0.733	0.188	4.75867660506114e-164
Acp5	2.02772051373153e-167	1.97034552640502	0.735	0.216	2.71937598096536e-163
Ccr5	1.07088915058446e-165	1.07866669148151	0.407	0.027	1.43616943984881e-161
H2.Eb1	3.07857499585843e-164	1.3220611416528	0.472	0.046	4.12867692694574e-160
Nceh1	5.43578253835173e-163	1.26299651395854	0.474	0.054	7.28992796218351e-159
Emilin2	4.66964386106452e-162	1.266401704493	0.723	0.184	6.26245938207363e-158
Alox5ap	6.09714714344639e-162	1.28349363044449	0.501	0.057	8.17688403407595e-158
Rilpl2	1.47388773702279e-159	1.31641583964743	0.598	0.11	1.97663084412126e-155
Ctsc	7.78667893589244e-159	1.55876838659785	0.83	0.36	1.04427151209254e-154
Slc11a1	1.3572032216577e-154	0.986081210403266	0.411	0.033	1.82014524056514e-150
Nlrp3	1.40974381165021e-153	0.426982921301065	0.567	0.079	1.8906074258041e-149
Cst3	1.04902273396308e-149	1.25054745119229	0.951	0.706	1.40684438851789e-145
Ifi30	3.94514333093121e-149	1.54949704777538	0.754	0.261	5.29083172111185e-145
S100a6	1.14261146063111e-148	-2.44980187086647	0.294	0.843	1.53235622985238e-144
Fermt3	1.18964778192257e-147	1.10065325840905	0.444	0.048	1.59543664033636e-143
Fcrls	7.23101830696921e-146	1.28292029523568	0.271	0.005	9.69751865147641e-142
Pf4	5.38833749663799e-145	1.70946222276236	0.271	0.006	7.2262994167412e-141
Mgl2	1.3992528544868e-144	1.08829295068802	0.355	0.023	1.87653800315224e-140
Lyn	1.17013467537157e-141	1.21146501301471	0.589	0.126	1.56926761314081e-137
Gusb	1.94131560773498e-141	1.48556636986619	0.651	0.189	2.60349836153338e-137
Nckap1l	9.16189001656693e-139	0.914624192120548	0.452	0.054	1.22870107012179e-134
Hcls1	4.25820068497153e-138	0.879154445061252	0.515	0.074	5.71067293861532e-134
Slfn2	6.88896507092999e-138	1.18948687373398	0.626	0.146	9.2387910566242e-134
Hck	1.79937201899597e-137	0.852697313163465	0.304	0.014	2.4131378146755e-133
Arl4c	4.64381124076195e-137	1.37790724160895	0.823	0.373	6.22781525498586e-133
Eepd1	1.11383710603687e-136	0.989395471367569	0.376	0.035	1.49376694290604e-132
Grn	1.26063906655843e-135	1.39093485919053	0.867	0.537	1.69064305216151e-131
Pirb	1.64003647790403e-135	0.975104411733681	0.292	0.012	2.1994529205171e-131
Itgam	6.55097427745071e-135	0.947853226083501	0.366	0.03	8.78551160348915e-131
Cyth4	2.47408139648656e-132	1.01229471502929	0.407	0.045	3.31799056082813e-128
Sdcbp	5.94458472461503e-131	1.20809521289825	0.895	0.628	7.97228257418122e-127
Id2	3.6949185801331e-130	1.34744062296876	0.832	0.378	4.9552553078165e-126
Lcp1	6.9217562460726e-130	1.00661155648837	0.747	0.219	9.28276730160797e-126
Tmem189	6.4528013228077e-127	1.11675209772936	0.546	0.121	8.65385185401741e-123
Tbxas1	5.63399087090306e-126	0.787841854723577	0.259	0.009	7.55574515696809e-122
Prkcb	6.15912525893623e-125	0.858654069976825	0.374	0.037	8.26000288475938e-121
Gm6377	4.36094708197689e-122	0.932855146993665	0.302	0.02	5.8484661316392e-118
Igsf6	9.81831925843986e-120	0.738225992250564	0.285	0.016	1.31673479574937e-115
Cxcl2	1.23030280319331e-119	0.823307941328312	0.879	0.548	1.64995908936255e-115
Ptprc	4.36923988284082e-118	0.783458435941518	0.53	0.096	5.85958760687783e-114
Rac2	8.59466094350773e-118	0.734888151722795	0.552	0.1	1.15262997913382e-113
Il1b	9.88589966614087e-116	0.849776150091107	0.653	0.173	1.32579800422615e-111
Cd52	2.62181459490182e-115	0.658736315314401	0.581	0.112	3.51611555322283e-111
Nrros	7.66400129575196e-115	0.884251738550451	0.333	0.031	1.0278192137733e-110
Entpd1	7.10688397886874e-114	0.86171769384429	0.382	0.049	9.53104210406087e-110
Hexa	1.66282084932966e-113	1.2186821827156	0.719	0.292	2.230009041036e-109
Rcbtb2	4.81347224539364e-113	1.1294690780112	0.388	0.058	6.45534762829741e-109
Tm6sf1	5.53003528363672e-113	0.794855290163369	0.316	0.028	7.41633031888521e-109
Rab3il1	8.66041527295086e-113	0.955993085729798	0.312	0.028	1.16144829225544e-108
Inpp5d	1.36723284684122e-110	0.804939245413784	0.382	0.049	1.83359597089876e-106
Lamp1	1.65342793957234e-110	1.1094937301599	0.887	0.646	2.21741220976046e-106
Atp6v1a	9.75275825172334e-110	1.27991017207376	0.762	0.406	1.30794240913862e-105
Myo1f	8.65025348983313e-109	0.699837843029465	0.287	0.022	1.16008549552152e-104
Gpr137b.ps	1.68546230720287e-108	0.99847868380513	0.398	0.062	2.26037350018976e-104
Irf8	3.1874376340563e-107	0.850044302732148	0.384	0.052	4.27467261103291e-103
H2.D1	1.16760977370305e-105	0.716160400821307	0.988	0.892	1.56588146751316e-101
Sparc	2.09852821191663e-105	-3.15808402566571	0.09	0.647	2.8143361850014e-101
Cndp2	8.19259909947402e-105	1.22181103889678	0.717	0.32	1.09870946523046e-100
Mmp12	1.46683076892662e-104	1.74088142177624	0.489	0.108	1.9671667442075e-100
Tcirg1	2.50376513033269e-104	1.16116525060112	0.651	0.231	3.35779941628917e-100
Arhgdib	2.65341335169433e-104	0.948126752089537	0.659	0.209	3.55849264595727e-100
Serpinh1	6.15037919394243e-104	-2.26861681006795	0.037	0.606	8.24827353699619e-100
Apobec1	1.12271426871482e-103	0.869880240579453	0.279	0.023	1.50567210577344e-99
Vcam1	2.23655420269116e-103	1.45949509209268	0.345	0.046	2.99944284122912e-99
Cd274	4.47691416618833e-103	0.687709918206785	0.446	0.079	6.00398958827517e-99
Bcl2a1b	1.08327986076995e-102	0.640617491506488	0.433	0.07	1.45278662127857e-98
Slc7a8	1.06597967324272e-101	1.01402148366397	0.382	0.061	1.42958533978581e-97
X4632428N05Rik	1.96132010193851e-101	0.971365623394448	0.38	0.059	2.63032638870973e-97
Lat2	4.15667386710126e-101	0.962840090970655	0.394	0.067	5.5745153231695e-97
Cd300lf	4.40184458283274e-101	0.580842924871656	0.318	0.033	5.90331377003699e-97
Npc2	6.88572735182289e-101	0.960844993593716	0.908	0.674	9.23444895152968e-97
Igfbp7	2.36349967690806e-100	-2.93278163785996	0.066	0.613	3.1696894167014e-96
Cxcl16	5.78367101201589e-100	1.25400108530183	0.741	0.393	7.75648119421451e-96
Stab1	4.17707018111789e-99	1.13418925975943	0.411	0.077	5.60186881989721e-95
Kctd12	2.47299984620979e-98	1.0692753728546	0.634	0.209	3.31654009375195e-94
Ccrl2	4.34034297512497e-98	0.290975069343137	0.452	0.085	5.8208339639401e-94
Rbp1	7.98837019784684e-98	-1.96328633745496	0.074	0.609	1.07132032723324e-93
Tmsb4x	1.99493070382806e-96	0.630474078670704	0.988	0.93	2.67540156690382e-92
Gpr35	2.88035520955573e-96	0.761487985275628	0.273	0.025	3.86284437153519e-92
Ctsh	5.97030274679964e-96	1.22265484251986	0.68	0.304	8.006773013733e-92
Fbln2	7.69373446732322e-94	-2.19461280798021	0.033	0.568	1.03180672941272e-89
Rnf149	3.73330156191411e-93	0.855316090499245	0.838	0.481	5.00673072468302e-89
Cytip	9.88612725879673e-93	0.77588558958435	0.53	0.122	1.32582852667723e-88
Bmp1	1.31945654313142e-91	-1.74040763984226	0.047	0.578	1.76952316999355e-87
Cenpa	3.84404792156219e-91	0.979299544158789	0.483	0.119	5.15525266760706e-87
Ccl3	4.27108833825319e-91	-0.346409167062125	0.441	0.087	5.72795657043135e-87
Nampt	4.78707166528504e-91	1.15970811676152	0.591	0.216	6.41994181031377e-87
Plbd1	1.65974383831369e-88	0.896251160055013	0.333	0.048	2.22588246156249e-84
Tnfrsf12a	1.8464520101064e-88	-1.36956367877436	0.296	0.723	2.47627679075369e-84
Irf5	2.79193043273325e-88	0.965664657768468	0.4	0.077	3.74425790333856e-84
Runx3	2.53541725933134e-87	0.789522686556571	0.372	0.063	3.40024808648926e-83
Fgfr1	5.21835868410356e-87	-1.57579012492368	0.092	0.612	6.99834083125128e-83
Anxa2	1.30899046848191e-86	-1.25891009054901	0.411	0.798	1.75548711728109e-82
Nedd4	1.56426267543097e-86	-1.35285804099968	0.037	0.546	2.09783267402048e-82
Tnfrsf1b	3.29878554803503e-86	0.852639539798215	0.618	0.217	4.42400129846978e-82
Zeb2	3.6387413559839e-86	1.07980294706502	0.538	0.177	4.87991603251e-82
H2.DMb2	5.61399068605812e-85	0.639043419084272	0.255	0.025	7.52892290907254e-81
Efhd2	8.014087997929e-85	0.892307084546439	0.836	0.477	1.07476934140226e-80
Cnn3	9.55649213250793e-85	-1.30559771871246	0.035	0.541	1.28162115989064e-80
Tmsb10	2.96420583041061e-84	-1.19769783481836	0.166	0.657	3.97529643916367e-80
Slc37a2	5.7256900378132e-84	0.634005263885436	0.253	0.025	7.67872290971128e-80
Flnb	8.29191528674733e-84	-1.35018517136245	0.084	0.589	1.11202875910568e-79
Cd53	1.21051785923528e-82	0.519912832737089	0.684	0.234	1.62342550102044e-78
Rgs10	6.8847300743333e-82	0.897363645959669	0.472	0.127	9.23311150268838e-78
Pla2g15	1.07270107264173e-80	0.982301624231582	0.384	0.087	1.43859940851982e-76
Zfp36	1.30473701572635e-80	1.06657438954387	0.836	0.58	1.7497828117906e-76
Gpr137b	2.01701406087442e-80	0.843854103813824	0.343	0.063	2.70501755703868e-76
Sla	1.32985783978263e-78	0.571004255212202	0.29	0.039	1.78347234893248e-74
Havcr2	6.18188670245011e-78	0.615498265973443	0.285	0.039	8.29052825665585e-74
Plekho1	4.89533371843395e-77	0.934785324542133	0.409	0.103	6.56513204979177e-73
Cald1	5.56772338170711e-77	-1.39614537110461	0.035	0.51	7.46687382720741e-73
Rgl1	9.17610217400951e-77	0.947854532380774	0.32	0.058	1.23060706255641e-72
Sdc1	1.3698142495061e-76	-1.51459672386059	0.109	0.58	1.83705789001263e-72
Gpr171	1.49972782564159e-76	0.694051199892784	0.259	0.031	2.01128498696794e-72
Aebp1	1.74159268994127e-76	-1.94334415539676	0.021	0.489	2.33564995648024e-72
B4galt5	2.83726226512218e-76	0.950910695746488	0.69	0.32	3.80505242375535e-72
Tnc	4.23400821030156e-76	-2.36045688546011	0.037	0.506	5.67822841083542e-72
Tgm2	6.76064048773159e-76	0.891733190804064	0.649	0.286	9.06669495809683e-72
Dhrs3	1.03912937735608e-75	0.992925325506908	0.517	0.182	1.39357640797224e-71
Socs3	3.66997774607863e-75	1.08462452765128	0.754	0.445	4.92180715526605e-71
Atp6v1c1	4.40800010958392e-75	0.969919664465281	0.546	0.21	5.911568946963e-71
Gna13	9.09155505333209e-74	0.902249591353565	0.7	0.376	1.21926844820237e-69
Serpine2	1.17943449458282e-73	-2.21065345201152	0.035	0.49	1.58173960068502e-69
Snx20	1.19906936218178e-73	0.544310778051607	0.294	0.044	1.60807192162198e-69
S100a16	1.25815502004346e-73	-1.31938537962994	0.029	0.486	1.68731169738029e-69
Gnas	4.69521805019741e-73	-0.859564562281496	0.667	0.835	6.29675692711975e-69
Rnf130	8.49609598921717e-73	0.981358839492904	0.53	0.206	1.13941143311391e-68
X1810011O10Rik	2.77296989914901e-72	-1.38165175590743	0.037	0.492	3.71882993174873e-68
Tpm1	7.74006377954512e-72	-1.3668977423543	0.189	0.624	1.0380199534748e-67
Il10	1.22097596408858e-71	1.92672940214515	0.257	0.036	1.6374508654392e-67
Slc29a3	1.68071240272605e-71	0.884603911650772	0.343	0.076	2.2540034032959e-67
Mfsd1	5.02539473828126e-71	1.03872135380114	0.536	0.217	6.73955688350899e-67
Mfge8	7.54474870920403e-71	-1.44861108784253	0.263	0.687	1.01182624939135e-66
Prex1	3.43320213658536e-70	0.651607871520943	0.351	0.074	4.60426738537462e-66
Ucp2	3.66895244505381e-70	0.938488917826928	0.567	0.231	4.92043212406167e-66
