p_val	avg_logFC	pct.1	pct.2	p_val_adj
Lcn2	0	3.26165353821122	0.992	0.307	0
Igfbp5	0	2.70620382118775	0.835	0.114	0
Trf	1.19761224658559e-267	2.86491209225718	0.966	0.365	1.60611778389594e-263
Csn3	1.29489133542544e-263	3.40859448046144	0.931	0.323	1.73657876993906e-259
Col9a1	9.91419256561261e-263	1.74100015679064	0.558	0.029	1.32959236497431e-258
Col9a2	7.12922567820339e-251	1.33408485996483	0.542	0.029	9.56100455703856e-247
Epcam	9.22938652501632e-247	1.71223296844872	0.94	0.268	1.23775302686994e-242
Wfdc18	4.90448109841648e-245	2.76185406544339	0.702	0.098	6.57739960108634e-241
Chil1	1.65650857260902e-235	2.2644863860572	0.647	0.074	2.22154364672596e-231
Fxyd3	4.35001328789546e-233	1.50423689509292	0.891	0.206	5.8338028203966e-229
Cldn3	1.48107258027608e-226	1.42834360169976	0.764	0.128	1.98626643740825e-222
Aldoc	4.44036799635493e-209	1.70902556496259	0.581	0.065	5.9549775199116e-205
Krt8	4.07182990178012e-204	1.57584328979775	0.935	0.277	5.46073108127732e-200
Clca3a2	1.25687848012879e-198	1.38184283053925	0.611	0.075	1.68559972970072e-194
Tm4sf1	5.86571316825597e-197	1.84706445035279	0.923	0.378	7.86650792994808e-193
Atp6v1c2	2.73120501067455e-193	1.03007596868408	0.45	0.029	3.66281903981563e-189
Spint2	2.6171575045998e-191	1.30211035365162	0.875	0.244	3.50986992941879e-187
Plet1	1.32609692704998e-190	1.9578378875371	0.897	0.305	1.77842858886673e-186
Cp	4.18238206135503e-188	1.66089016980009	0.696	0.143	5.60899258248323e-184
Cldn7	5.05554864440625e-188	1.02335866471012	0.544	0.058	6.77999628701323e-184
Krt18	3.54660312357437e-186	1.39003821908754	0.962	0.335	4.75634944902559e-182
Sox10	5.63880273301645e-186	1.08835232698124	0.528	0.054	7.56219834524837e-182
Emid1	2.39276151723379e-181	1.0603892339001	0.446	0.032	3.20893247076224e-177
Tspan8	1.11188994496787e-177	1.02119971647519	0.438	0.031	1.49115560519641e-173
Col9a3	2.56639604080492e-175	1.01318689107601	0.5	0.051	3.44179373032348e-171
Cdh1	1.89417648353386e-166	1.23060919919998	0.784	0.203	2.54028008206725e-162
Krt19	1.24545030260127e-165	0.868469320188994	0.669	0.12	1.67027340081856e-161
Spp1	5.76311447240629e-157	1.90398791464906	0.948	0.628	7.72891281894407e-153
Eps8l2	1.58769089906019e-153	1.02806602365123	0.589	0.107	2.12925226472962e-149
Plekhb1	2.17581557655781e-152	0.917452400914636	0.437	0.045	2.91798626972168e-148
Car2	1.93403221245216e-150	1.18143557628826	0.589	0.106	2.59373060011959e-146
Atp1b1	3.34047142342114e-147	0.971611692724147	0.448	0.052	4.47990622595009e-143
Irx1	3.53944201574877e-143	1.22370966858545	0.629	0.146	4.74674568732067e-139
Cdc42ep3	4.0681498973175e-143	0.939248776735168	0.514	0.082	5.45579582729249e-139
Nfib	3.36242045230605e-142	1.06217732083575	0.633	0.146	4.50934206858765e-138
Mfge8	8.03207772496698e-142	1.53043568813089	0.897	0.569	1.07718194369532e-137
Hhipl2	2.89916012793913e-141	0.695760736317181	0.335	0.021	3.88806364757916e-137
Irx2	3.86424371461676e-137	1.22914980313384	0.688	0.195	5.18233724567254e-133
Mgst1	1.67103626976142e-132	1.25293192347252	0.756	0.279	2.24102674137704e-128
Smoc1	2.16813551119936e-132	0.797124502767779	0.333	0.024	2.90768653406947e-128
Actn4	5.20098251333889e-130	1.04788255196071	0.905	0.575	6.97503764863878e-126
Ehf	1.16073774495164e-129	0.879642144661409	0.405	0.048	1.55666538975464e-125
Clu	3.05210255886016e-128	0.761923410854052	0.79	0.237	4.09317474168736e-124
Galnt3	5.88903559949531e-127	0.898279255416449	0.454	0.069	7.89778564248316e-123
Mia	4.38808396803284e-126	0.973056195099866	0.389	0.044	5.88485940952884e-122
Wnt5b	7.15962619194465e-123	0.807062368261183	0.349	0.034	9.60177468601697e-119
Pkp3	4.37167641578391e-120	0.819476039782114	0.649	0.16	5.8628552412078e-116
St14	6.38878890678286e-120	0.932142100203799	0.595	0.137	8.5680048028865e-116
Folr1	1.7603701119513e-117	0.850422791167716	0.296	0.022	2.36083235713789e-113
Lbp	2.59874810133351e-117	0.900877197008222	0.637	0.171	3.48518107869838e-113
Cebpd	4.35839750635455e-117	1.36082136512564	0.651	0.2	5.84504689577209e-113
Cxadr	2.63064566319014e-115	0.954603969226177	0.552	0.125	3.52795889890429e-111
Spint1	2.92122806167374e-114	0.834495273122821	0.494	0.094	3.91765895351065e-110
Ceacam1	5.94242003317529e-114	0.677644960219089	0.284	0.019	7.96937950649138e-110
Ano1	1.52200798150388e-113	0.945686050784957	0.56	0.131	2.04116490399486e-109
Cldn4	6.36493967468231e-113	0.9962423082807	0.657	0.186	8.53602059771644e-109
Cd24a	1.91263941161308e-112	0.794215512440653	0.796	0.275	2.5650407149143e-108
Foxc1	6.76638706703023e-111	0.847609337017887	0.444	0.077	9.07440169559424e-107
Slc29a1	4.04508697847565e-110	1.12314162536661	0.639	0.197	5.42486614683369e-106
Aqp5	5.76995485136516e-110	1.26164154905253	0.55	0.136	7.73808645116582e-106
Gata3	9.92081059817488e-110	0.680431194323378	0.5	0.097	1.33047990932123e-105
Vim	1.64188041700453e-109	-2.01254854071965	0.413	0.78	2.20192582724478e-105
Tinagl1	9.99932438954723e-109	0.971950701311267	0.597	0.155	1.34100939388218e-104
Krt7	1.22611367355976e-107	0.841202812623743	0.74	0.221	1.64434104761099e-103
Csf3	1.80205835453316e-107	1.29628818860481	0.444	0.082	2.41674045926442e-103
X1110008P14Rik	1.98388559248097e-107	1.0209723635181	0.681	0.246	2.66058896807622e-103
Col4a6	2.34929226925695e-107	0.4957313401279	0.26	0.016	3.1506358623005e-103
Klc3	3.18736549379346e-106	0.707256062627817	0.44	0.077	4.27457586372641e-102
Prss22	1.41954941299713e-103	1.01390814191259	0.427	0.078	1.90375771777045e-99
Ppap2c	5.21054382289938e-102	0.839648900858152	0.625	0.193	6.98786032089037e-98
Crb3	9.39045570000117e-102	0.61290044681997	0.391	0.062	1.25935401392716e-97
S100a1	1.97646822242583e-100	0.976700279518401	0.677	0.254	2.65064153309528e-96
Scd1	2.02680221660546e-99	1.03128802301969	0.417	0.079	2.71814445268958e-95
Sdc4	8.6342582215294e-99	0.950627781449994	0.869	0.516	1.15794037008931e-94
Tspan7	1.68987971681697e-98	0.634385405384285	0.353	0.05	2.26629768822324e-94
Lama5	2.48715989972275e-98	0.659323368379945	0.615	0.172	3.33553014151818e-94
