p_val	avg_logFC	pct.1	pct.2	p_val_adj
Icos	0	2.84982260819076	0.566	0.004	0
Il2rb	4.85160557350924e-293	2.06540413051253	0.473	0.002	6.50648823463324e-289
Cd3d	5.04871570239076e-245	1.96087269217625	0.403	0.002	6.77083262847625e-241
Cd3e	7.14258662896865e-225	1.77858291821279	0.376	0.003	9.57892292810985e-221
Ctla4	4.71370516246634e-224	2.62352633420511	0.407	0.006	6.32154999338361e-220
Cd3g	6.48085874379506e-221	1.82940530402096	0.358	0.002	8.69147966130355e-217
Cd2	1.13226329546525e-205	2.21486576029095	0.398	0.008	1.51847830554845e-201
Foxp3	6.22478935777986e-198	2.25651809882205	0.367	0.006	8.34806500771857e-194
Ptprcap	5.3533243780709e-195	1.6855990678096	0.35	0.004	7.17934332343089e-191
Lck	3.79837055520948e-189	1.76465717299158	0.354	0.006	5.09399475159143e-185
Pdcd1	1.9949646350192e-186	1.81415198114588	0.314	0.002	2.67544707202425e-182
Sh2d2a	1.01391283080604e-185	1.5909025723987	0.305	0.002	1.35975849739397e-181
Lat	5.17967240339495e-179	1.63890809033108	0.332	0.005	6.94645866019296e-175
Il2ra	4.44753370699471e-177	2.6538981991457	0.389	0.012	5.96458745445061e-173
Cd28	5.19028563157329e-168	1.39785670859752	0.261	0	6.96069206050294e-164
P2ry10	7.72533109620789e-157	2.07820696218679	0.478	0.034	1.03604415331244e-152
Cxcr6	8.21345074566892e-153	2.38586530138477	0.429	0.026	1.10150587950166e-148
Tnfrsf4	2.260858836816e-148	2.37489271791446	0.367	0.016	3.03203778605394e-144
Tnfrsf9	5.42365426922353e-138	2.97005461179101	0.566	0.069	7.27366274045567e-134
Ikzf2	2.80384799283679e-132	2.11283276380751	0.376	0.023	3.76024054319342e-128
Cd6	1.14791644460655e-131	1.3492442668931	0.252	0.004	1.53947074386184e-127
Ppp1r16b	3.61896586061352e-131	1.33279422693742	0.288	0.009	4.8533951156688e-127
Ptpn22	3.03358361732748e-124	1.36835656351896	0.31	0.013	4.06833898919789e-120
Hopx	2.10182292331824e-121	2.54292358129854	0.398	0.031	2.81875472246209e-117
Tnfrsf18	1.14864336290389e-118	1.89567741547847	0.394	0.032	1.54044561399041e-114
Rac2	5.84262806893258e-114	1.7842322825632	0.673	0.131	7.83554850324549e-110
Il2rg	4.49286108418634e-111	2.18568863082899	0.69	0.162	6.0253760000023e-107
Gimap6	2.41439966023532e-102	1.48786876635627	0.257	0.011	3.23795138434158e-98
Selplg	2.13428166943482e-99	1.72338538291636	0.527	0.084	2.86228514687904e-95
Satb1	1.45372874689758e-94	1.8541707438684	0.301	0.022	1.94959562246434e-90
B2m	5.68367838091127e-89	1.19498336272022	0.991	0.935	7.6223810766401e-85
Camk4	5.95137818037628e-88	1.36398411960304	0.288	0.022	7.98139327770263e-84
Cd69	2.69986767115189e-86	1.55914598337886	0.279	0.02	3.6207925337818e-82
Itgb7	7.15826186666837e-81	1.24053416712793	0.252	0.017	9.59994498938894e-77
Fyb	2.20859466936688e-79	1.47971371790099	0.407	0.059	2.96194631108792e-75
Ccr2	7.11838633610945e-79	1.84189404114268	0.288	0.026	9.54646791535638e-75
Ptprc	1.85811319372157e-77	1.5611406214154	0.571	0.131	2.49191560409999e-73
Crem	4.93975205305044e-76	2.19709327214705	0.704	0.259	6.62470147834595e-72
Ier3	3.9036611276337e-75	-2.0225496922091	0.164	0.83	5.23519993826956e-71
H2.K1	6.29401900433768e-75	1.33319304720075	0.96	0.894	8.44090888671727e-71
