p_val	avg_logFC	pct.1	pct.2	p_val_adj
Col12a1	0	2.69948855900139	0.962	0.145	0
Col5a2	0	2.56014263746563	0.979	0.173	0
Tagln	0	2.51568574531194	0.752	0.075	0
Lrrc15	0	2.48154075757139	0.921	0.048	0
Col1a1	0	2.46998947021872	0.993	0.161	0
Col1a2	0	2.45609251405924	0.993	0.228	0
Col6a3	0	2.42175157779978	0.961	0.205	0
Bgn	0	2.39373029251018	0.99	0.168	0
Thbs2	0	2.36889046104819	0.972	0.155	0
Postn	0	2.36004968995278	0.98	0.224	0
Col6a1	0	2.27065241012849	0.959	0.16	0
Spon1	0	2.213553025852	0.943	0.106	0
Col6a2	0	2.18788266893063	0.969	0.138	0
Col5a1	0	2.1838813026596	0.952	0.139	0
Serpinf1	0	1.97993219177296	0.961	0.152	0
Col5a3	0	1.96714781263163	0.936	0.163	0
Cpxm2	0	1.95178778867411	0.849	0.037	0
Ppic	0	1.86084568925783	0.954	0.209	0
Ccdc80	0	1.85389389931854	0.875	0.104	0
Adamts2	0	1.84276206822938	0.906	0.115	0
Thy1	0	1.80551595343074	0.951	0.156	0
Serping1	0	1.80369409718515	0.97	0.155	0
Wisp1	0	1.8004369088066	0.851	0.059	0
Fbn1	0	1.7485191327331	0.923	0.153	0
C1qtnf6	0	1.72390025901504	0.89	0.113	0
Cpxm1	0	1.72144329883802	0.9	0.095	0
Pcolce	0	1.71010215328471	0.911	0.123	0
Loxl1	0	1.67683726564869	0.923	0.108	0
Mrc2	0	1.66775823881151	0.829	0.088	0
Fstl1	0	1.63749104368171	0.967	0.171	0
Cdh11	0	1.60735782718579	0.78	0.068	0
Mmp2	0	1.57705530955661	0.959	0.16	0
Rcn3	0	1.56208826820785	0.887	0.12	0
Antxr1	0	1.54970939898375	0.813	0.093	0
Col3a1	0	1.47433441653473	0.977	0.172	0
Ctsk	0	1.46191913934706	0.92	0.123	0
Pdgfrb	0	1.40661869736483	0.795	0.075	0
Emilin1	0	1.33760289831302	0.78	0.077	0
Srpx2	0	1.28042918823587	0.675	0.036	0
Loxl2	1.25035518116218e-305	1.6138173788383	0.805	0.101	1.6768513334566e-301
Lox	2.29857151631949e-301	1.64281911055714	0.788	0.093	3.08261426053607e-297
Olfml3	2.08532365713873e-297	1.18217878302783	0.663	0.047	2.79662755658875e-293
Ncam1	2.89349001233021e-296	1.24758620466263	0.678	0.056	3.88045945553605e-292
Dkk3	1.32887302692739e-295	1.27772203487215	0.764	0.088	1.78215161641232e-291
Islr	1.43993626163991e-294	1.38085294496186	0.749	0.075	1.93109852048528e-290
Acta2	7.39342044294073e-294	2.13503001520817	0.737	0.079	9.91531615602781e-290
Serpina3h	2.6949865464939e-293	1.62305376637859	0.898	0.18	3.61424645750297e-289
Mdk	6.11902572140778e-293	1.26160975155658	0.655	0.045	8.20622539497997e-289
Sparc	4.71250940739997e-288	1.99291393130785	0.995	0.457	6.3199463662641e-284
Aebp1	6.78468808505477e-283	1.61762558525148	0.967	0.285	9.09894519086695e-279
P4ha3	3.18179145445582e-282	1.28803730106631	0.693	0.062	4.2671005195707e-278
Colec12	2.39056360092598e-279	1.15731158506262	0.701	0.067	3.20598484520183e-275
Fkbp10	3.71693872084028e-277	1.29274460479676	0.744	0.099	4.9847865185189e-273
Igfbp7	1.31297543342704e-276	1.79662869186435	0.997	0.416	1.760831353769e-272
Gpx3	1.67385309448337e-272	1.46636735750141	0.89	0.175	2.24480438501165e-268
Serpinh1	1.35738753169427e-271	1.69690571603691	0.975	0.408	1.82039241875518e-267
Olfml2b	1.30208553869487e-270	1.12971592203076	0.734	0.081	1.74622691594369e-266
Ptprn	4.76058896486576e-270	1.19655296394922	0.594	0.037	6.38442586078147e-266
Loxl3	1.101582788043e-267	1.46184256228768	0.77	0.121	1.47733267704447e-263
Col8a1	5.12691042451351e-265	1.98615470853342	0.823	0.173	6.87569957031506e-261
Cspg4	3.42642555475402e-261	1.09293602234238	0.553	0.027	4.59517931148061e-257
Mfap4	4.99452567733394e-259	1.14544951888477	0.655	0.057	6.69815838587255e-255
Sod3	5.37166583644324e-259	1.31159183386663	0.755	0.1	7.20394105325403e-255
Col23a1	1.69736226054239e-255	1.04874053770562	0.501	0.017	2.2763325276134e-251
Prrx1	2.40463772816784e-254	1.19683478917739	0.672	0.07	3.22485965724589e-250
Pla1a	1.4019988562958e-251	1.16242038086471	0.78	0.112	1.8802206661783e-247
Pdgfrl	8.6594272219758e-249	1.21412878400682	0.662	0.074	1.16131578473917e-244
Grem2	9.45705235700222e-249	1.17188169421017	0.583	0.042	1.26828529159757e-244
Angptl2	2.87968032701638e-248	1.56422461161326	0.816	0.174	3.86193928656166e-244
Igfbp3	9.7498897576706e-248	1.8013372926402	0.869	0.199	1.3075577154012e-243
Scarf2	6.17568555809586e-247	1.02969243218927	0.609	0.051	8.28221190196236e-243
Fbln1	8.3140873911426e-247	1.17158166961181	0.681	0.078	1.11500226002613e-242
Fbln2	2.92344982832322e-243	1.49363628563245	0.964	0.371	3.92063856476427e-239
