p_val	avg_logFC	pct.1	pct.2	p_val_adj
Hdc	2.65945627906461e-139	2.8780225770794	0.344	0.015	3.56659681585355e-135
S100a9	1.24016558370784e-135	3.67433186776036	0.457	0.037	1.66318606431059e-131
Irg1	1.05882519403177e-131	2.72002369365822	0.303	0.011	1.41999046771601e-127
Fpr2	7.69927088635027e-113	2.33429326794147	0.299	0.015	1.03254921856843e-108
Rplp1	2.19098403660735e-93	-1.68853958169989	0.294	0.97	2.93832869149412e-89
Ccl3	1.16800471106416e-92	4.03332140359908	0.557	0.11	1.56641111800815e-88
Rpl13a	2.17365627603225e-92	-1.72893950187502	0.253	0.958	2.91509043178685e-88
Csf3r	5.87139606644414e-88	2.13242186437307	0.271	0.018	7.87412926470824e-84
Rps5	1.03267415789695e-87	-1.59372046992144	0.244	0.952	1.3849193131556e-83
Rpl32	3.68375309175067e-83	-1.57919631216284	0.208	0.937	4.94028127134682e-79
Clec4d	5.37068448303984e-83	2.99086531739635	0.48	0.088	7.20262496020473e-79
Rps20	6.94050338230608e-82	-1.63946614166776	0.181	0.918	9.30790908601069e-78
Rplp0	6.69940083024103e-81	-1.69341799959735	0.167	0.896	8.98456645343625e-77
Eef1a1	5.201815561643e-80	-1.24550688805197	0.425	0.969	6.97615484971942e-76
Rps12	1.24510379071017e-78	-1.45749386581872	0.376	0.972	1.66980869372141e-74
Rps14	1.52597177890222e-75	-1.32700115920948	0.281	0.952	2.04648075268576e-71
Rpl41	2.39100198087732e-75	-1.41408856418665	0.249	0.937	3.20657275655457e-71
Clec4e	1.28765640575175e-74	2.96388461073375	0.462	0.089	1.72687600575368e-70
Rps21	6.24407044312319e-73	-1.35680347262192	0.249	0.932	8.3739228712725e-69
Gnb2l1	1.93426969787673e-72	-1.33752020455276	0.317	0.928	2.59404909182249e-68
Rpl13	7.6939594972414e-72	-1.46401580116619	0.154	0.859	1.03183690817504e-67
Rpl9	1.22631296147242e-71	-1.38481069136102	0.195	0.891	1.64460831263066e-67
Rpl23	2.9275073353268e-71	-1.33552221771472	0.163	0.872	3.92608008740677e-67
Rps24	5.88815486742604e-71	-1.44000701554254	0.222	0.911	7.89660449270507e-67
Rps15	7.89004704357198e-70	-1.36393694420263	0.294	0.935	1.05813420901344e-65
Rpl12	2.13929963789822e-69	-1.27465608062277	0.226	0.897	2.8690147443853e-65
Rps26	5.3052769401172e-68	-1.35407309046633	0.285	0.929	7.11490690439118e-64
Rpl31	8.2765365351017e-67	-1.19861602352505	0.163	0.873	1.10996631472249e-62
Rps8	9.63807459557932e-67	-1.29294170479484	0.231	0.889	1.29256218401314e-62
Rpl21	1.7305837546881e-66	-1.49497350129555	0.136	0.82	2.32088587341221e-62
Rpl4	1.76700096187993e-66	-1.36043470500465	0.262	0.893	2.36972498997717e-62
Rpl18a	2.1055712857055e-66	-1.28564434668947	0.267	0.922	2.82378165125965e-62
Rps19	2.18295203889858e-66	-1.16374509819681	0.235	0.919	2.92755697936689e-62
S100a8	7.82914929530663e-66	3.50914260198466	0.362	0.058	1.04996721199357e-61
Rpl28	1.47268956221291e-65	-1.24795935154862	0.199	0.866	1.97502397188374e-61
Rpsa	2.81001628509758e-65	-1.24094842626136	0.24	0.899	3.76851283994436e-61
Rps4x	7.25838963224126e-65	-1.48899270750824	0.086	0.761	9.73422633579875e-61
Rplp2	2.76726004481901e-64	-1.20706847383653	0.33	0.942	3.71117244610677e-60
Rps3	3.01064963532787e-64	-1.11499607781715	0.407	0.96	4.0375822259382e-60
Gnas	5.29498911390195e-64	-1.37303488121213	0.213	0.854	7.1011099006539e-60
Rps18	6.86172967311527e-64	-1.43103791900313	0.122	0.798	9.20226566461489e-60
Ccl4	1.18869171894605e-63	3.40334290408556	0.398	0.073	1.59415446427855e-59
Rps27a	4.60350885656225e-63	-1.34210108208592	0.149	0.832	6.17376572753563e-59
Rpl7	1.58715329666364e-62	-1.35792147284355	0.145	0.808	2.12853128615561e-58
Ccrl2	3.46600212683698e-62	2.93851578864652	0.475	0.117	4.64825545230107e-58
Rps10	4.46228725420505e-62	-1.12675009816414	0.176	0.874	5.98437343661439e-58
Nlrp3	7.13001999340269e-62	2.73102700559531	0.493	0.129	9.56206981315235e-58
Rps9	4.07178021215645e-61	-1.16437673969391	0.394	0.955	5.46066444252301e-57
Uba52	4.19920210971061e-61	-1.35120166075745	0.176	0.844	5.6315499493329e-57
Rpl7a	6.00370243096758e-61	-1.24017102384063	0.199	0.86	8.05156533017063e-57
Rps16	1.40796193042467e-60	-1.21094818585931	0.176	0.847	1.88821774489252e-56
Il1b	1.84895024878171e-60	2.46588994269699	0.624	0.219	2.47962717864115e-56
Rpl19	2.376210956667e-60	-1.19077790641104	0.186	0.839	3.18673651398611e-56
