p_val	avg_logFC	pct.1	pct.2	p_val_adj
Hdc	1.9863227842002e-207	3.16388117597357	0.503	0.015	2.66385748589089e-203
Gm5483	1.6677153179809e-199	3.84335468049008	0.347	0.003	2.23657301294419e-195
S100a9	8.24932111495705e-190	4.00730229614087	0.639	0.038	1.10631645472689e-185
Irg1	1.95473688964426e-183	3.04099941359719	0.429	0.011	2.62149764270192e-179
Stfa2l1	3.43938563419708e-168	2.76373484138984	0.259	0	4.6125600740217e-164
Fpr2	1.65940412857674e-167	2.72954756655186	0.435	0.015	2.22542687683427e-163
Ccl3	3.58807404370732e-149	4.39550487254591	0.803	0.109	4.81196610001589e-145
Clec4d	8.6916653944084e-133	3.35565777645915	0.694	0.087	1.16563924604411e-128
Csf3r	4.83111285809012e-131	2.4777989136831	0.395	0.018	6.47900545398465e-127
Clec4e	3.02911634988264e-123	3.37378864368711	0.673	0.087	4.06234793682761e-119
Slfn4	3.86702986149844e-120	2.33235908202513	0.293	0.008	5.18607374725556e-116
F630028O10Rik	2.18257592505912e-116	2.63960653072864	0.272	0.007	2.92705257309678e-112
Ccl4	5.49319694829835e-106	3.79436992604558	0.585	0.072	7.36692642736291e-102
S100a8	6.40443522192743e-104	3.83343207389357	0.524	0.057	8.58898807612688e-100
Nlrp3	1.20062568376392e-103	3.07714587093495	0.707	0.127	1.61015910449579e-99
Il1b	1.91658669990624e-102	2.85832169087604	0.871	0.216	2.57033442324426e-98
Ccrl2	2.83856437493912e-100	3.33488619826726	0.673	0.116	3.80679868323085e-96
Srgn	1.83342238902188e-88	3.03684570563436	0.905	0.342	2.45880276591725e-84
Lilrb4a	2.18606272431437e-85	2.45068716474483	0.81	0.228	2.931728719578e-81
Cyp4f18	1.25417165348687e-84	2.42934690517939	0.293	0.017	1.68196960449124e-80
Cd14	2.33818972700472e-76	2.50990973717985	0.884	0.351	3.13574624288603e-72
Il1rn	9.88269717358385e-73	2.50215566060798	0.803	0.257	1.32536851794933e-68
Lilr4b	1.0828203504844e-71	2.32409953489714	0.748	0.214	1.45217037203463e-67
Plek	8.48557199039305e-70	2.21106666369856	0.721	0.195	1.13800005963161e-65
Trem1	1.10855549499618e-67	2.52638478295087	0.429	0.06	1.48668377433937e-63
Cxcl2	1.78251151403215e-66	3.13401866293318	0.918	0.583	2.39052619146851e-62
G0s2	5.43793782296267e-66	2.68299646807792	0.408	0.055	7.29281841437524e-62
Hcar2	5.68033955012188e-65	2.37017555541088	0.361	0.042	7.61790337066846e-61
Rplp1	4.6878949519052e-64	-1.73858892921672	0.231	0.956	6.28693592000006e-60
Fcer1g	4.94301459911877e-64	2.45721332413617	0.673	0.185	6.62907687887818e-60
Gnb2l1	8.31335408919051e-62	-1.81503742218105	0.15	0.921	1.11490391690134e-57
Il1r2	6.33006823694361e-61	2.4540526238206	0.551	0.119	8.48925451256508e-57
Rpl13a	8.97021327638918e-61	-1.70980033077868	0.204	0.943	1.20299530249655e-56
Rps20	1.62882916363958e-58	-1.82275991073654	0.143	0.902	2.18442279135704e-54
Rps5	1.42095024405529e-57	-1.64398150239515	0.19	0.938	1.90563637230255e-53
Rpl13	5.59776047856209e-55	-1.75700327955266	0.088	0.845	7.50715657779961e-51
Rps12	7.04430261177201e-54	-1.5172253363175	0.299	0.961	9.44711423264744e-50
Rpl32	1.4288248241391e-53	-1.57287249292045	0.19	0.92	1.91619697165295e-49
Rplp0	3.02851125329864e-53	-1.61555707650901	0.15	0.879	4.0615364417988e-49
Eef1a1	6.2505486808322e-52	-1.22679069598706	0.354	0.96	8.38261083586406e-48
Rpl4	1.54183514571191e-50	-1.45032306313128	0.156	0.883	2.06775511391425e-46
Rpl12	3.11869250024155e-50	-1.41097779888318	0.163	0.883	4.18247851207394e-46
Rps21	3.84219595097643e-50	-1.46570563562969	0.204	0.917	5.15276898985449e-46
Rpsa	1.02585225761554e-49	-1.49973555379308	0.163	0.886	1.3757704626882e-45
Lmna	2.18419212680836e-49	-1.77285423108331	0.143	0.845	2.92922006126269e-45
Cxcl3	2.26123226507587e-49	2.95817713681199	0.585	0.169	3.03253859069325e-45
Rps24	2.67396580741715e-49	-1.5074110274104	0.17	0.897	3.58605554432714e-45
Nfkbia	2.99282794211335e-49	1.90921793448741	0.918	0.813	4.01368155316822e-45
