p_val	avg_logFC	pct.1	pct.2	p_val_adj
Icos	0	2.8752634916584	0.583	0.004	0
Il2rb	8.99208085861411e-299	2.04457995073096	0.486	0.003	1.20592796394874e-294
Cd3d	4.47440086839226e-255	1.9920529723812	0.417	0.002	6.00061900460087e-251
Cd3e	4.08648172883074e-234	1.8087164121642	0.39	0.003	5.48038064653491e-230
Cd3g	5.96127681370179e-230	1.85986366037974	0.372	0.002	7.99466833485547e-226
Ctla4	5.63851900965871e-228	2.64770043600117	0.417	0.006	7.56181784385329e-224
Cd2	4.47213510225579e-209	2.21232038132377	0.408	0.008	5.99758038563524e-205
Ptprcap	1.0459627456777e-208	1.73016520507459	0.367	0.004	1.40274063822836e-204
Foxp3	8.39077433838653e-201	2.26580738475892	0.376	0.006	1.12528674652102e-196
Lck	4.78875902729669e-197	1.79478418223113	0.367	0.006	6.42220473150759e-193
Pdcd1	4.41122425730351e-194	1.84446934234119	0.326	0.002	5.91589285146974e-190
Sh2d2a	2.56192979798802e-193	1.61976700796638	0.317	0.002	3.43580405208174e-189
Il2ra	1.10292732285317e-184	2.68787490253608	0.404	0.012	1.47913583267838e-180
Lat	3.20409059005636e-181	1.66039335301169	0.339	0.005	4.29700589032458e-177
Cd28	8.04719095523357e-175	1.42512734087738	0.271	0	1.07920877900637e-170
P2ry10	4.59216086827482e-164	2.11107678160845	0.495	0.033	6.15854694044337e-160
Cxcr6	1.68208152766334e-163	2.44583545821271	0.45	0.025	2.25583953674931e-159
Tnfrsf4	7.02373860295183e-155	2.40807727648069	0.381	0.016	9.41953584041869e-151
Tnfrsf9	3.17885625008377e-142	2.98958658874766	0.583	0.069	4.26316411698734e-138
Cd6	3.6905458229728e-137	1.37634861496072	0.261	0.004	4.94939100318882e-133
Ppp1r16b	9.04106913236338e-137	1.36020262702906	0.298	0.009	1.21249778134125e-132
Ikzf2	1.51720283862558e-134	2.10879167260118	0.385	0.023	2.03472072688077e-130
Hopx	5.34089690333989e-124	2.57591376946375	0.408	0.031	7.16267683706913e-120
Ptpn22	8.81417735704185e-122	1.38408864263391	0.312	0.014	1.18206932535288e-117
Tnfrsf18	4.92253290579725e-121	1.91349943643911	0.404	0.032	6.60160887996469e-117
Il2rg	1.50103425742493e-115	2.21333625683787	0.711	0.162	2.01303704263257e-111
Rac2	6.00704190237849e-111	1.7895006742878	0.674	0.132	8.05604389527979e-107
Gimap6	1.76563914857793e-105	1.51558285603724	0.266	0.011	2.36789866215786e-101
Selplg	8.01648718473984e-103	1.77044648274105	0.541	0.084	1.07509109634546e-98
Satb1	3.15281968433162e-102	1.8978431312563	0.317	0.021	4.22824647865713e-98
Camk4	5.11336289277288e-92	1.39165350680005	0.298	0.021	6.85753097549771e-88
B2m	4.32974184063518e-91	1.21801888733927	0.995	0.935	5.80661678247584e-87
Cd69	4.76957293691709e-87	1.57469977084622	0.284	0.02	6.3964742656995e-83
Ccr2	1.29704025166986e-82	1.87336468161889	0.298	0.026	1.73946068151445e-78
Crem	1.87853292456271e-81	2.23247097530591	0.729	0.258	2.51930050513105e-77
Fyb	2.04248215806229e-81	1.50400661625469	0.417	0.059	2.73917282217734e-77
Itgb7	2.16997422374705e-81	1.26520875964201	0.257	0.017	2.91015243146717e-77
H2.K1	1.16351668204882e-80	1.36676244416661	0.968	0.894	1.56039222229567e-76
Cd52	3.81132555265886e-77	1.58752486686348	0.619	0.152	5.1113686986708e-73
Ptprc	4.128254115546e-76	1.57969414934807	0.573	0.132	5.53640159435874e-72
Ier3	7.20321409457346e-73	-2.02421006861371	0.161	0.829	9.66023042223247e-69
Ifngr1	2.12311990959409e-72	2.04676771479822	0.683	0.254	2.84731611075664e-68
Rgs1	7.69604906334896e-72	1.65858026200263	0.711	0.202	1.03211713988573e-67
Srgn	8.24840553052677e-72	0.739957649219716	0.89	0.329	1.10619366569895e-67
Samsn1	8.79989613995008e-72	1.14350708782186	0.399	0.058	1.18015407132871e-67
Cytip	1.14836215177786e-70	1.31070868351663	0.619	0.153	1.54006848174929e-66
Cd63	4.25840537282507e-69	-1.78050808863929	0.119	0.806	5.71094744549569e-65
Spn	1.70310762929587e-67	1.15402461586861	0.252	0.022	2.28403764164869e-63
Laptm5	1.38797301160093e-66	1.0426410634997	0.789	0.224	1.86141060585801e-62
Anxa1	9.21910051817515e-66	-1.90445351479969	0.161	0.799	1.23637357049247e-61
Ccr7	1.59478153920817e-65	1.55133449765338	0.298	0.033	2.13876152223207e-61
H2.D1	4.53643897686261e-65	1.00671497572857	0.991	0.901	6.08381831187044e-61
