p_val	avg_logFC	pct.1	pct.2	p_val_adj
Cxadr	1.35667837989204e-109	0.963769648564905	0.545	0.127	1.81944137527322e-105
Cldn4	7.02949742539222e-109	0.952954566348083	0.657	0.187	9.42725899719351e-105
Cd24a	8.23642473139058e-109	0.818294841591543	0.794	0.278	1.10458692072679e-104
Vim	1.67001254856866e-108	-2.01214373998554	0.408	0.78	2.23965382888543e-104
X1110008P14Rik	6.49390034278186e-108	1.02353366597584	0.687	0.246	8.70896974970476e-104
Ano1	1.05560833294396e-107	0.919553506325032	0.554	0.133	1.41567633531114e-103
Csf3	4.33009791889854e-107	1.29826838016525	0.446	0.082	5.80709431903483e-103
Spint1	5.55231351482103e-107	0.816657994017393	0.487	0.097	7.44620765472648e-103
Gata3	7.03549315306476e-107	0.684617602981504	0.499	0.099	9.43529986757516e-103
Prss22	2.88557706871673e-105	1.02294391254188	0.432	0.078	3.86984740685601e-101
S100a1	1.17118037849789e-104	0.997658913698745	0.687	0.253	1.57067000560352e-100
Tinagl1	5.05946685490387e-104	0.963893732560704	0.592	0.157	6.78525099911157e-100
Slc29a1	7.52556764524611e-104	1.09503195809305	0.632	0.2	1.00925387690396e-99
Aqp5	9.24602345345496e-104	1.23028884958267	0.543	0.138	1.23998420534284e-99
Klc3	1.24654116793732e-103	0.701199153988944	0.44	0.078	1.67173636032073e-99
Ppap2c	5.01985948114823e-102	0.849047243288842	0.628	0.194	6.73213355016789e-98
Col4a6	1.39873186750398e-101	0.481617074964815	0.257	0.018	1.87583930750959e-97
Krt7	2.87645885223745e-101	0.775435038412932	0.733	0.224	3.85761896673565e-97
X4931406C07Rik	4.40431787350947e-101	0.901364486001678	0.378	0.059	5.90663070016355e-97
Crb3	5.49392968338853e-97	0.59123796872086	0.388	0.063	7.36790909839236e-93
Tspan7	1.12809665760097e-95	0.629694965253042	0.352	0.051	1.51289042750866e-91
Scd1	1.35299388785746e-94	1.01642786029943	0.412	0.081	1.81450010300564e-90
Sdc4	5.75029415710898e-94	0.936771414436205	0.865	0.518	7.71171949409885e-90
Tmsb4x	1.94303476813327e-93	-1.14307746348802	0.909	0.945	2.60580392754353e-89
Lama5	3.51303927406803e-93	0.636665613188684	0.608	0.174	4.71133697045264e-89
F3	2.93609668393438e-92	1.33416888543718	0.642	0.235	3.93759926282439e-88
Ptprf	4.59806243286222e-92	0.914944777575348	0.604	0.203	6.16646152871153e-88
Las1l	2.47109401251252e-90	0.87808681494647	0.562	0.169	3.31398418018054e-86
Irx5	2.01256315825675e-89	0.828783152021112	0.523	0.142	2.69904845153812e-85
Csn1s1	9.46132728541859e-89	3.02852298994994	0.489	0.139	1.26885860224749e-84
Rhpn2	1.1179509232514e-88	0.510074845209064	0.281	0.031	1.49928398317245e-84
Tmc4	1.42185014039974e-88	0.661521445163926	0.432	0.09	1.90684322329009e-84
Myh14	2.92128292008085e-88	0.470891638556405	0.307	0.038	3.91773252412043e-84
Cldn1	1.93162362598652e-87	0.57424647498289	0.366	0.061	2.59050044481052e-83
Stard10	4.45584936426226e-87	0.632631991877341	0.467	0.109	5.97573958241212e-83
Kcnk5	6.2789603402297e-86	0.575353353554207	0.311	0.043	8.42071371228205e-82
Dsg2	1.45961961133761e-85	0.616864872069203	0.428	0.092	1.95749586076487e-81
Irx3	2.7481508934691e-85	0.754798876149851	0.515	0.142	3.6855451632314e-81
